sdnn,rmssd,nn50,pnn50,lf_power,hf_power,lf_hf_ratio,HR
547386.0526023165,401034.8128415786,298,99.66555183946488,24704826156.087482,21654515115.60499,1.1408625879729044,91
385606.4172819185,253765.7381243282,298,99.66555183946488,7308286688.494853,8697363312.983433,0.8402876165452391,78
542405.5959827979,411875.823999855,298,99.66555183946488,166595119.2633328,3040303148.1477833,0.054795561871791,77
53910.0938581985,35037.70470833078,298,99.66555183946488,120328869.88721986,1451602634.5407534,0.08289380786725326,73
834877.8952440448,577753.6962954917,298,99.66555183946488,41835747636.54689,256932125756.63788,0.16282801348155684,74
547508.8734729294,337429.6933543034,298,99.66555183946488,304788139.6458488,30769573906.403046,0.009905504072723718,77
458149.33539463487,268271.76008741104,298,99.66555183946488,31669361798.54357,94245300882.06491,0.33603120263973096,79
1432110.4712348757,912260.179937227,298,99.66555183946488,5290204286.584397,20925584797.802032,0.2528103437826056,74
808447.0640769508,786766.292297515,298,99.66555183946488,4489147858.1620655,3940687476.864821,1.1391788576275517,77
1554855.9257694115,1622309.9453191569,298,99.66555183946488,54700634171.843414,130269517254.49976,0.41990356089965436,77
306516.3875655734,226202.20412306103,298,99.66555183946488,2389040207.3542395,9360014319.007484,0.25523894792583696,75
300308.1682813864,193214.33310063492,298,99.66555183946488,13010021714.129042,33532500675.113903,0.3879824484364929,80
501415.0247111016,466044.888628704,298,99.66555183946488,993883052.3586612,89549932260.7598,0.011098646612758794,75
421286.71947407007,325134.7219643494,298,99.66555183946488,1009260762.9607577,10265749547.804916,0.09831340208144508,94
155950.37489827065,112450.63933095559,298,99.66555183946488,2368940073.339686,2008105217.157013,1.1796892180249037,80
270636.8359471903,239963.3209449408,298,99.66555183946488,6042383635.817838,6678246946.922569,0.904785894238645,80
260660.77764793002,196609.6357320981,297,99.33110367892976,881121100.4631485,7675099703.228785,0.1148025608178713,69
163865.9432173333,122742.57656720071,298,99.66555183946488,341690547.22927755,851821435.1966016,0.40112931315283806,70
957398.2006337086,776552.3008704507,298,99.66555183946488,17932707104.52416,212115683207.93893,0.08454210850097568,70
73183.49113731462,57903.537159988766,298,99.66555183946488,246490268.4123962,2851504171.1297607,0.08644219107515358,71
135056.1983651965,111857.65536551166,298,99.66555183946488,2591162222.727858,3583603332.877896,0.7230605572204792,76
653568.2360300029,445404.56990395964,297,99.33110367892976,69436549375.92157,92698079778.07874,0.7490613564181072,72
1014259.847799849,741329.0914683838,298,99.66555183946488,8741034314.237644,76218739605.86339,0.114683532677641,71
416299.15753116115,352048.82461865095,298,99.66555183946488,99421142630.69542,238378987926.40015,0.4170717540817475,117
417567.0296775442,339013.82937283505,298,99.66555183946488,76181248347.95668,33122114702.761906,2.300011609512489,98
2247989.662109797,1481896.3269432897,298,99.66555183946488,815544565446.2592,1138527353851.8433,0.7163153021199928,92
1792387.8965170477,1137037.5508895568,298,99.66555183946488,665069134662.0492,337323764533.26227,1.9716047447243201,81
993913.0538859831,637456.7684013132,298,99.66555183946488,424399614778.7193,800016195385.6456,0.5304887791354507,81
927159.0388963342,588537.8311647117,298,99.66555183946488,514259739123.53595,156017087650.40894,3.296175738620692,87
137045.44182006427,77164.67813768708,298,99.66555183946488,740162275.6439862,79968103.54329598,9.25571875345588,91
1401788.9271351795,1071478.1936765746,297,99.33110367892976,3337401693.293215,121431503605.83107,0.02748382087177709,77
866199.3407935533,491582.44798417465,298,99.66555183946488,100546221265.42926,551933565359.9832,0.18217087630800424,70
1124872.9815767787,990792.4358224145,298,99.66555183946488,121338595588.7336,540102008724.4647,0.2246586637870384,82
282844.8917553314,185279.33708383824,298,99.66555183946488,3901781183.210153,10660843599.287376,0.36599178544097277,80
2144793.346575158,1732591.4704781312,298,99.66555183946488,2654468537637.741,3341202548366.9463,0.7944650164759228,90
4840220.15594785,4088738.913173907,298,99.66555183946488,4371048825.698697,4279063879969.4927,0.0010214965114589175,73
1009094.68682732,790068.4567741988,298,99.66555183946488,530694590982.1668,557071521385.2068,0.9526507290527948,73
122979.32366320379,108000.73871108709,296,98.99665551839465,841684217.893695,345387906.29811627,2.4369244045482246,83
377835.5507378682,466736.5872326694,298,99.66555183946488,134987606147.27872,80598685923.15181,1.6748115009714295,88
1512165.471828286,1499308.7313273752,298,99.66555183946488,681545870690.9266,1547943937995.8113,0.440291055742854,80
651480.5535869193,410184.63445188827,298,99.66555183946488,653219092.1866088,119229726545.63019,0.0054786596523528595,90
1130167.4253929595,827060.807805512,298,99.66555183946488,88130395522.99808,452728261962.3883,0.19466510692526584,90
94356.00996742865,92947.92135056402,298,99.66555183946488,1708916864.4827135,2554283021.676574,0.669039746175433,76
407835.1361518613,256364.48451829562,298,99.66555183946488,8276424640.391647,5656456938.71562,1.4631817637899192,85
865219.0459719624,682128.928138165,298,99.66555183946488,96927508134.81146,198110233138.43976,0.48926048190089383,87
276388.0691535186,281096.87780631165,298,99.66555183946488,5856766346.77545,4399494515.276421,1.3312361968946491,75
402081.1000726469,387759.9393859003,297,99.33110367892976,64245397804.3348,80970675351.62024,0.793440310647591,88
466687.3332529628,417217.0051866245,298,99.66555183946488,29888309003.930824,38355626555.41484,0.7792418398054132,96
2459270.277758146,1941365.1739681654,298,99.66555183946488,157715433509.6575,519236201676.1994,0.30374506438595805,94
5196878.831657709,3459819.8805597667,298,99.66555183946488,838988278048.5245,4318409118388.5137,0.19428179569091106,86
2608800.3468971774,1658330.8492701328,298,99.66555183946488,297320206823.24115,391013589695.34406,0.7603833080453711,85
5582035.670468726,3417700.213377176,298,99.66555183946488,428776491586.4493,2125095886340.1177,0.2017680681340439,83
1735341.40549747,1047412.7773376788,298,99.66555183946488,97040190317.82176,250459142333.41125,0.3874491839816406,82
5041084.243630299,2993703.2380775223,298,99.66555183946488,73021209606.08383,387852652773.99756,0.1882704915998948,81
2298647.8202402843,1349326.810369175,298,99.66555183946488,207580492592.78937,211547765926.08923,0.9812464418334441,83
4192897.54833193,2685766.1613086676,298,99.66555183946488,371411953784.71655,63299377626.701546,5.867545111976646,83
6746924.427250787,4432036.925625894,298,99.66555183946488,501653954602.3072,4088647344357.537,0.12269435643418979,85
3934217.6113536335,2455943.654175082,298,99.66555183946488,842044988303.387,36265164859.17681,23.219113757601175,82
3727015.1988796783,2407780.630186879,298,99.66555183946488,102882582078.03003,1079496490511.155,0.09530608295846692,83
1058327.7621747686,672821.2255392986,298,99.66555183946488,84601942645.63747,72745910314.88583,1.1629786785185856,90
806227.9061233039,612899.17190547,298,99.66555183946488,7480467550.27726,38369654489.71371,0.19495790748604874,84
106999.47817489818,101089.01670899369,296,98.99665551839465,1839921248.230781,25178806233.341183,0.07307420499524718,85
61121.24305940951,52603.31775227135,298,99.66555183946488,177014042.86898285,3051105293.9397435,0.058016366469088074,86
1045488.9351680691,691829.6044401363,298,99.66555183946488,123098292570.96771,59257178628.70729,2.0773566244568458,89
829458.5583900454,535874.0711820744,298,99.66555183946488,37938552463.18597,147275633275.57245,0.25760237195651947,88
515665.7263200442,411692.5839020537,298,99.66555183946488,7085688090.715533,20625287242.335155,0.34354372898970137,85
3396830.225727727,1892103.481465379,298,99.66555183946488,271682620804.28482,665790041502.2095,0.40806050536786714,89
769731.0110125784,472233.0455490274,298,99.66555183946488,84855162869.92499,21136651919.131817,4.014598111118934,90
554151.1478070067,337730.1949695122,298,99.66555183946488,55321106017.81086,10478903082.85901,5.279284060590561,89
